#tax_id	GeneID	Ensembl_gene_identifier	RNA_nucleotide_accession.version	Ensembl_rna_identifier	protein_accession.version	Ensembl_protein_identifier
7227	30970	FBgn0040373	NM_001297803.1	FBtr0340207	NP_001284732.1	FBpp0309182
7227	30970	FBgn0040373	NM_130477.4	FBtr0070108	NP_569833.1	FBpp0070103
7227	30970	FBgn0040373	NM_166834.2	FBtr0070107	NP_726658.1	FBpp0070102
7227	30971	FBgn0040372	NM_001272159.1	FBtr0332992	NP_001259088.1	FBpp0305207
7227	30971	FBgn0040372	NM_130478.3	FBtr0070063	NP_569834.1	FBpp0070062
7227	30972	FBgn0261446	NM_001272160.1	FBtr0332990	NP_001259089.1	FBpp0305206
7227	30972	FBgn0261446	NM_130479.3	FBtr0070106	NP_569835.1	FBpp0070101
7227	30973	FBgn0000316	NM_057682.4	FBtr0070065	NP_477030.1	FBpp0070064
7227	30973	FBgn0000316	NM_166835.4	FBtr0070064	NP_726659.1	FBpp0070063
7227	30975	FBgn0005427	NM_001014707.2	FBtr0100581	NP_001014707.1	FBpp0100036
7227	30975	FBgn0005427	NM_001014708.2	FBtr0100580	NP_001014708.1	FBpp0100035
7227	30975	FBgn0005427	NM_001014709.2	FBtr0100579	NP_001014709.1	FBpp0100034
7227	30975	FBgn0005427	NM_001014710.2	FBtr0100578	NP_001014710.1	FBpp0100033
7227	30975	FBgn0005427	NM_001014711.2	FBtr0100577	NP_001014711.1	FBpp0100032
7227	30975	FBgn0005427	NM_001014712.2	FBtr0100582	NP_001014712.1	FBpp0100037
7227	30975	FBgn0005427	NM_001258514.1	FBtr0308208	NP_001245443.1	FBpp0300528
7227	30975	FBgn0005427	NM_001258515.1	FBtr0308209	NP_001245444.1	FBpp0300529
7227	30975	FBgn0005427	NM_001272163.1	FBtr0332976	NP_001259092.1	FBpp0305192
7227	30975	FBgn0005427	NM_001272164.1	FBtr0332977	NP_001259093.1	FBpp0305193
7227	30975	FBgn0005427	NM_001272165.1	FBtr0332978	NP_001259094.1	FBpp0305194
7227	30975	FBgn0005427	NM_057544.4	FBtr0089441	NP_476892.4	FBpp0088456
7227	30975	FBgn0005427	NM_166836.2	FBtr0089442	NP_726660.3	FBpp0088457
7227	30976	FBgn0040370	NM_001169157.2	FBtr0300326	NP_001162628.1	FBpp0289555
7227	30976	FBgn0040370	NM_001297806.1	FBtr0342963	NP_001284735.1	FBpp0309734
7227	30976	FBgn0040370	NM_130481.4	FBtr0070103	NP_569837.2	FBpp0070098
7227	30977	FBgn0040371	NM_130482.3	FBtr0070069	NP_569838.1	FBpp0070068
7227	30978	FBgn0029521	NM_080290.4	FBtr0070070	NP_525029.2	FBpp0070069
7227	30979	FBgn0024989	NM_001297804.1	FBtr0342962	NP_001284733.1	FBpp0309733
7227	30979	FBgn0024989	NM_001297805.1	FBtr0344149	NP_001284734.1	FBpp0310562
7227	30979	FBgn0024989	NM_130483.3	FBtr0070066	NP_569839.2	FBpp0070065
7227	30979	FBgn0024989	NM_166840.2	FBtr0070067	NP_726664.2	FBpp0070066
7227	30979	FBgn0024989	NM_166841.2	FBtr0070068	NP_726665.2	FBpp0070067
9606	20	ENSG00000107331	XR_001746224.1	ENST00000459850.5	-	-
9606	21	ENSG00000167972	NM_001089.3	ENST00000301732.9	NP_001080.2	ENSP00000301732.5
9606	22	ENSG00000131269	NM_001271696.3	ENST00000373394.7	NP_001258625.1	ENSP00000362492.3
9606	22	ENSG00000131269	NM_001271697.2	ENST00000339447.8	NP_001258626.1	ENSP00000343849.4
9606	22	ENSG00000131269	NM_001271698.2	ENST00000529949.5	NP_001258627.1	ENSP00000436586.1
9606	79501	ENSG00000186092	NM_001005484.1	ENST00000335137.4	NP_001005484.1	ENSP00000334393.3
9606	100996442	ENSG00000238009	XR_001737581.2	ENST00000466430.5	-	ENSP00000334396.3
